step,intersection,time_of_day,phase_used,duration,queue_ns,queue_ew,served_ns,served_ew,throughput,avg_wait_proxy,stops,emergency,explanation
0,0,morning,NS,11.404828546927588,0,2,3,0,3,1.0,2,False,"Neural policy: queues NS/EW=(0,0), time=morning, emergency=False"
0,1,morning,NS,11.404828546927588,0,2,4,0,4,1.0,2,False,"Neural policy: queues NS/EW=(0,0), time=morning, emergency=False"
0,2,morning,NS,11.404828546927588,0,4,3,0,3,2.0,4,False,"Neural policy: queues NS/EW=(0,0), time=morning, emergency=False"
1,0,morning,EW,11.491364321166746,3,0,0,6,6,1.5,3,False,"Neural policy: queues NS/EW=(0,2), time=morning, emergency=False"
1,1,morning,EW,11.491364321166746,3,0,0,4,4,1.5,3,False,"Neural policy: queues NS/EW=(0,2), time=morning, emergency=False"
1,2,morning,EW,11.480770506321173,3,0,0,8,8,1.5,3,False,"Neural policy: queues NS/EW=(0,4), time=morning, emergency=False"
2,0,morning,NS,11.411419590427208,0,2,9,0,9,1.0,2,False,"Neural policy: queues NS/EW=(3,0), time=morning, emergency=False"
2,1,morning,NS,11.411419590427208,0,2,8,0,8,1.0,2,False,"Neural policy: queues NS/EW=(3,0), time=morning, emergency=False"
2,2,morning,NS,11.411419590427208,0,4,7,0,7,2.0,4,False,"Neural policy: queues NS/EW=(3,0), time=morning, emergency=False"
3,0,morning,EW,11.498063979399806,5,0,0,4,4,2.5,5,False,"Neural policy: queues NS/EW=(0,2), time=morning, emergency=False"
3,1,morning,EW,11.498063979399806,5,0,0,4,4,2.5,5,False,"Neural policy: queues NS/EW=(0,2), time=morning, emergency=False"
3,2,morning,EW,11.487462426175142,3,0,0,7,7,1.5,3,False,"Neural policy: queues NS/EW=(0,4), time=morning, emergency=False"
4,0,morning,NS,11.418570681278446,0,2,10,0,10,1.0,2,False,"Neural policy: queues NS/EW=(5,0), time=morning, emergency=False"
4,1,morning,NS,11.418570681278446,0,3,8,0,8,1.5,3,False,"Neural policy: queues NS/EW=(5,0), time=morning, emergency=False"
4,2,morning,NS,11.416350784687708,0,4,8,0,8,2.0,4,False,"Neural policy: queues NS/EW=(3,0), time=morning, emergency=False"
5,0,morning,EW,11.503512984249541,5,0,0,6,6,2.5,5,False,"Neural policy: queues NS/EW=(0,2), time=morning, emergency=False"
5,1,morning,EW,11.49820845365889,3,0,0,5,5,1.5,3,False,"Neural policy: queues NS/EW=(0,3), time=morning, emergency=False"
5,2,morning,EW,11.492904874056487,5,0,0,6,6,2.5,5,False,"Neural policy: queues NS/EW=(0,4), time=morning, emergency=False"
6,0,morning,NS,11.424224407754407,0,3,8,0,8,1.5,3,False,"Neural policy: queues NS/EW=(5,0), time=morning, emergency=False"
6,1,morning,NS,11.422001103724469,0,2,8,0,8,1.0,2,False,"Neural policy: queues NS/EW=(3,0), time=morning, emergency=False"
6,2,morning,NS,11.424224407754407,0,4,9,0,9,2.0,4,False,"Neural policy: queues NS/EW=(5,0), time=morning, emergency=False"
7,0,morning,EW,11.503911508479566,3,0,0,7,7,1.5,3,False,"Neural policy: queues NS/EW=(0,3), time=morning, emergency=False"
7,1,morning,EW,11.509219355190108,4,0,0,4,4,2.0,4,False,"Neural policy: queues NS/EW=(0,2), time=morning, emergency=False"
7,2,morning,EW,11.498604589031341,5,0,0,8,8,2.5,5,False,"Neural policy: queues NS/EW=(0,4), time=morning, emergency=False"
8,0,morning,NS,11.428071266920762,0,4,7,0,7,2.0,4,False,"Neural policy: queues NS/EW=(3,0), time=morning, emergency=False"
8,1,morning,NS,11.429184371804814,0,2,7,0,7,1.0,2,False,"Neural policy: queues NS/EW=(4,0), time=morning, emergency=False"
8,2,morning,NS,11.430298409851744,0,3,10,0,10,1.5,3,False,"Neural policy: queues NS/EW=(5,0), time=morning, emergency=False"
9,0,morning,EW,11.504754388278172,4,0,0,8,8,2.0,4,False,"Neural policy: queues NS/EW=(0,4), time=morning, emergency=False"
9,1,morning,EW,11.5153761559428,5,0,0,4,4,2.5,5,False,"Neural policy: queues NS/EW=(0,2), time=morning, emergency=False"
9,2,morning,EW,11.510064821264834,6,0,0,7,7,3.0,6,False,"Neural policy: queues NS/EW=(0,3), time=morning, emergency=False"
10,0,morning,NS,11.434482496303911,0,2,9,0,9,1.0,2,False,"Neural policy: queues NS/EW=(4,0), time=morning, emergency=False"
10,1,morning,NS,11.435598242068657,0,4,10,0,10,2.0,4,False,"Neural policy: queues NS/EW=(5,0), time=morning, emergency=False"
10,2,morning,NS,11.436714954763055,1,3,11,0,11,2.0,3,False,"Neural policy: queues NS/EW=(6,0), time=morning, emergency=False"
11,0,morning,EW,11.522203360351824,4,0,0,6,6,2.0,4,False,"Neural policy: queues NS/EW=(0,2), time=morning, emergency=False"
11,1,morning,EW,11.511573584329739,3,0,0,6,6,1.5,3,False,"Neural policy: queues NS/EW=(0,4), time=morning, emergency=False"
11,2,morning,EW,11.518038955009903,5,0,0,7,7,2.5,5,False,"Neural policy: queues NS/EW=(1,3), time=morning, emergency=False"
12,0,morning,NS,11.441535771500973,0,3,7,0,7,1.5,3,False,"Neural policy: queues NS/EW=(4,0), time=morning, emergency=False"
12,1,morning,NS,11.440418593368031,0,4,9,0,9,2.0,4,False,"Neural policy: queues NS/EW=(3,0), time=morning, emergency=False"
12,2,morning,NS,11.442653911509266,0,4,8,0,8,2.0,4,False,"Neural policy: queues NS/EW=(5,0), time=morning, emergency=False"
13,0,morning,EW,11.52266414603156,5,0,0,7,7,2.5,5,False,"Neural policy: queues NS/EW=(0,3), time=morning, emergency=False"
13,1,morning,EW,11.517346390478853,5,0,0,7,7,2.5,5,False,"Neural policy: queues NS/EW=(0,4), time=morning, emergency=False"
13,2,morning,EW,11.517346390478853,3,0,0,8,8,1.5,3,False,"Neural policy: queues NS/EW=(0,4), time=morning, emergency=False"
14,0,morning,NS,11.448643443490045,0,4,10,0,10,2.0,4,False,"Neural policy: queues NS/EW=(5,0), time=morning, emergency=False"
14,1,morning,NS,11.448643443490045,0,4,8,0,8,2.0,4,False,"Neural policy: queues NS/EW=(5,0), time=morning, emergency=False"
14,2,morning,NS,11.446404493009522,0,2,7,0,7,1.0,2,False,"Neural policy: queues NS/EW=(3,0), time=morning, emergency=False"
15,0,morning,EW,11.524057840840184,4,0,0,8,8,2.0,4,False,"Neural policy: queues NS/EW=(0,4), time=morning, emergency=False"
15,1,morning,EW,11.524057840840184,3,0,0,8,8,1.5,3,False,"Neural policy: queues NS/EW=(0,4), time=morning, emergency=False"
15,2,morning,EW,11.534701705768377,3,0,0,4,4,1.5,3,False,"Neural policy: queues NS/EW=(0,2), time=morning, emergency=False"
16,0,morning,NS,11.453992228541868,0,2,9,0,9,1.0,2,False,"Neural policy: queues NS/EW=(4,0), time=morning, emergency=False"
16,1,morning,NS,11.452871429918488,0,2,6,0,6,1.0,2,False,"Neural policy: queues NS/EW=(3,0), time=morning, emergency=False"
16,2,morning,NS,11.452871429918488,0,4,6,0,6,2.0,4,False,"Neural policy: queues NS/EW=(3,0), time=morning, emergency=False"
17,0,morning,EW,11.540965747973242,4,0,0,6,6,2.0,4,False,"Neural policy: queues NS/EW=(0,2), time=morning, emergency=False"
17,1,morning,EW,11.540965747973242,4,0,0,5,5,2.0,4,False,"Neural policy: queues NS/EW=(0,2), time=morning, emergency=False"
17,2,morning,EW,11.530314679266805,6,0,0,6,6,3.0,6,False,"Neural policy: queues NS/EW=(0,4), time=morning, emergency=False"
18,0,morning,NS,11.458511726516255,0,4,8,0,8,2.0,4,False,"Neural policy: queues NS/EW=(4,0), time=morning, emergency=False"
18,1,morning,NS,11.458511726516255,0,3,9,0,9,1.5,3,False,"Neural policy: queues NS/EW=(4,0), time=morning, emergency=False"
18,2,morning,NS,11.460759015416542,1,2,11,0,11,1.5,2,False,"Neural policy: queues NS/EW=(6,0), time=morning, emergency=False"
19,0,morning,EW,11.536357691284598,3,0,0,7,7,1.5,3,False,"Neural policy: queues NS/EW=(0,4), time=morning, emergency=False"
19,1,morning,EW,11.541686297315207,4,0,0,7,7,2.0,4,False,"Neural policy: queues NS/EW=(0,3), time=morning, emergency=False"
19,2,morning,EW,11.5481753897725,4,0,0,6,6,2.0,4,False,"Neural policy: queues NS/EW=(1,2), time=morning, emergency=False"
20,0,morning,NS,11.46438917586854,0,2,7,0,7,1.0,2,False,"Neural policy: queues NS/EW=(3,0), time=morning, emergency=False"
20,1,morning,NS,11.4655135889678,0,2,9,0,9,1.0,2,False,"Neural policy: queues NS/EW=(4,0), time=morning, emergency=False"
20,2,morning,NS,11.4655135889678,0,4,9,0,9,2.0,4,False,"Neural policy: queues NS/EW=(4,0), time=morning, emergency=False"
21,0,morning,EW,11.553985835278283,4,0,0,6,6,2.0,4,False,"Neural policy: queues NS/EW=(0,2), time=morning, emergency=False"
21,1,morning,EW,11.553985835278283,6,0,0,4,4,3.0,6,False,"Neural policy: queues NS/EW=(0,2), time=morning, emergency=False"
21,2,morning,EW,11.543319871441085,6,0,0,6,6,3.0,6,False,"Neural policy: queues NS/EW=(0,4), time=morning, emergency=False"
22,0,morning,NS,11.470308205311666,0,3,10,0,10,1.5,3,False,"Neural policy: queues NS/EW=(4,0), time=morning, emergency=False"
22,1,morning,NS,11.472563228698828,1,4,11,0,11,2.5,4,False,"Neural policy: queues NS/EW=(6,0), time=morning, emergency=False"
22,2,morning,NS,11.472563228698828,0,2,9,0,9,1.0,2,False,"Neural policy: queues NS/EW=(6,0), time=morning, emergency=False"
23,0,morning,EW,11.554510949614297,5,0,0,5,5,2.5,5,False,"Neural policy: queues NS/EW=(0,3), time=morning, emergency=False"
23,1,morning,EW,11.550333645728655,5,0,0,8,8,2.5,5,False,"Neural policy: queues NS/EW=(1,4), time=morning, emergency=False"
23,2,morning,EW,11.559847682765225,6,0,0,4,4,3.0,6,False,"Neural policy: queues NS/EW=(0,2), time=morning, emergency=False"
24,0,morning,NS,11.477268235204658,0,2,9,0,9,1.0,2,False,"Neural policy: queues NS/EW=(5,0), time=morning, emergency=False"
24,1,morning,NS,11.477268235204658,0,2,8,0,8,1.0,2,False,"Neural policy: queues NS/EW=(5,0), time=morning, emergency=False"
24,2,morning,NS,11.478398335675129,0,2,9,0,9,1.0,2,False,"Neural policy: queues NS/EW=(6,0), time=morning, emergency=False"
25,0,morning,EW,11.565697162745545,4,0,0,4,4,2.0,4,False,"Neural policy: queues NS/EW=(0,2), time=morning, emergency=False"
25,1,morning,EW,11.565697162745545,6,0,0,4,4,3.0,6,False,"Neural policy: queues NS/EW=(0,2), time=morning, emergency=False"
25,2,morning,EW,11.565697162745545,3,0,0,4,4,1.5,3,False,"Neural policy: queues NS/EW=(0,2), time=morning, emergency=False"
26,0,morning,NS,11.481133207939076,0,3,10,0,10,1.5,3,False,"Neural policy: queues NS/EW=(4,0), time=morning, emergency=False"
26,1,morning,NS,11.483396006054083,1,3,11,0,11,2.0,3,False,"Neural policy: queues NS/EW=(6,0), time=morning, emergency=False"
26,2,morning,NS,11.480003398604586,0,2,9,0,9,1.0,2,False,"Neural policy: queues NS/EW=(3,0), time=morning, emergency=False"
27,0,morning,EW,11.565995684418208,4,0,0,5,5,2.0,4,False,"Neural policy: queues NS/EW=(0,3), time=morning, emergency=False"
27,1,morning,EW,11.567160200787718,4,0,0,7,7,2.0,4,False,"Neural policy: queues NS/EW=(1,3), time=morning, emergency=False"
27,2,morning,EW,11.571339156433048,3,0,0,6,6,1.5,3,False,"Neural policy: queues NS/EW=(0,2), time=morning, emergency=False"
28,0,morning,NS,11.488260439595006,0,2,8,0,8,1.0,2,False,"Neural policy: queues NS/EW=(4,0), time=morning, emergency=False"
28,1,morning,NS,11.488260439595006,0,2,7,0,7,1.0,2,False,"Neural policy: queues NS/EW=(4,0), time=morning, emergency=False"
28,2,morning,NS,11.487128563213794,0,4,6,0,6,2.0,4,False,"Neural policy: queues NS/EW=(3,0), time=morning, emergency=False"
29,0,morning,EW,11.576887101923068,6,0,0,4,4,3.0,6,False,"Neural policy: queues NS/EW=(0,2), time=morning, emergency=False"
29,1,morning,EW,11.576887101923068,4,0,0,6,6,2.0,4,False,"Neural policy: queues NS/EW=(0,2), time=morning, emergency=False"
29,2,morning,EW,11.566194550234123,3,0,0,7,7,1.5,3,False,"Neural policy: queues NS/EW=(0,4), time=morning, emergency=False"
30,0,morning,NS,11.495207222883174,0,3,11,0,11,1.5,3,False,"Neural policy: queues NS/EW=(6,0), time=morning, emergency=False"
30,1,morning,NS,11.492937504629472,0,2,9,0,9,1.0,2,False,"Neural policy: queues NS/EW=(4,0), time=morning, emergency=False"
30,2,morning,NS,11.491804275683936,0,4,7,0,7,2.0,4,False,"Neural policy: queues NS/EW=(3,0), time=morning, emergency=False"
31,0,morning,EW,11.577628906004687,6,0,0,6,6,3.0,6,False,"Neural policy: queues NS/EW=(0,3), time=morning, emergency=False"
31,1,morning,EW,11.582978903120036,3,0,0,4,4,1.5,3,False,"Neural policy: queues NS/EW=(0,2), time=morning, emergency=False"
31,2,morning,EW,11.572279523457368,3,0,0,6,6,1.5,3,False,"Neural policy: queues NS/EW=(0,4), time=morning, emergency=False"
32,0,morning,NS,11.500970019381176,0,2,11,0,11,1.0,2,False,"Neural policy: queues NS/EW=(6,0), time=morning, emergency=False"
32,1,morning,NS,11.497561935476872,0,2,6,0,6,1.0,2,False,"Neural policy: queues NS/EW=(3,0), time=morning, emergency=False"
32,2,morning,NS,11.497561935476872,0,3,7,0,7,1.5,3,False,"Neural policy: queues NS/EW=(3,0), time=morning, emergency=False"
33,0,morning,EW,11.588698872400332,5,0,0,6,6,2.5,5,False,"Neural policy: queues NS/EW=(0,2), time=morning, emergency=False"
33,1,morning,EW,11.588698872400332,3,0,0,6,6,1.5,3,False,"Neural policy: queues NS/EW=(0,2), time=morning, emergency=False"
33,2,morning,EW,11.583345703318168,5,0,0,7,7,2.5,5,False,"Neural policy: queues NS/EW=(0,3), time=morning, emergency=False"
34,0,morning,NS,11.505783739773292,0,3,9,0,9,1.5,3,False,"Neural policy: queues NS/EW=(5,0), time=morning, emergency=False"
34,1,morning,NS,11.503509370708302,0,4,6,0,6,2.0,4,False,"Neural policy: queues NS/EW=(3,0), time=morning, emergency=False"
34,2,morning,NS,11.505783739773292,0,3,10,0,10,1.5,3,False,"Neural policy: queues NS/EW=(5,0), time=morning, emergency=False"
35,0,morning,EW,11.58927363329936,5,0,0,5,5,2.5,5,False,"Neural policy: queues NS/EW=(0,3), time=morning, emergency=False"
35,1,morning,EW,11.58391779266857,5,0,0,8,8,2.5,5,False,"Neural policy: queues NS/EW=(0,4), time=morning, emergency=False"
35,2,morning,EW,11.58927363329936,3,0,0,5,5,1.5,3,False,"Neural policy: queues NS/EW=(0,3), time=morning, emergency=False"
36,0,morning,NS,11.297005950897304,0,2,10,0,10,1.0,2,True,"Neural policy: queues NS/EW=(5,0), time=morning, emergency=True | Emergency override: granted immediate green to priority approach."
36,1,morning,NS,11.511201143318418,0,4,9,0,9,2.0,4,False,"Neural policy: queues NS/EW=(5,0), time=morning, emergency=False"
36,2,morning,NS,11.508923386199516,0,4,7,0,7,2.0,4,False,"Neural policy: queues NS/EW=(3,0), time=morning, emergency=False"
37,0,morning,NS,11.283747315152421,0,6,6,0,6,3.0,6,True,"Neural policy: queues NS/EW=(0,2), time=morning, emergency=True | Emergency override: granted immediate green to priority approach."
37,1,morning,EW,11.589819884352902,3,0,0,8,8,1.5,3,False,"Neural policy: queues NS/EW=(0,4), time=morning, emergency=False"
37,2,morning,EW,11.589819884352902,3,0,0,7,7,1.5,3,False,"Neural policy: queues NS/EW=(0,4), time=morning, emergency=False"
38,0,morning,NS,11.480143385226832,0,9,4,0,4,4.5,9,False,"Neural policy: queues NS/EW=(0,6), time=morning, emergency=False"
38,1,morning,NS,11.51540464461644,0,3,8,0,8,1.5,3,False,"Neural policy: queues NS/EW=(3,0), time=morning, emergency=False"
38,2,morning,NS,11.51540464461644,0,3,6,0,6,1.5,3,False,"Neural policy: queues NS/EW=(3,0), time=morning, emergency=False"
39,0,morning,EW,11.567136307536321,4,2,0,11,11,3.0,4,False,"Neural policy: queues NS/EW=(0,9), time=morning, emergency=False"
39,1,morning,EW,11.599281476008063,6,0,0,7,7,3.0,6,False,"Neural policy: queues NS/EW=(0,3), time=morning, emergency=False"
39,2,morning,EW,11.599281476008063,4,0,0,5,5,2.0,4,False,"Neural policy: queues NS/EW=(0,3), time=morning, emergency=False"
40,0,morning,NS,11.509615391866006,0,5,8,0,8,2.5,5,False,"Neural policy: queues NS/EW=(4,2), time=morning, emergency=False"
40,1,morning,NS,11.522572104886915,0,3,11,0,11,1.5,3,False,"Neural policy: queues NS/EW=(6,0), time=morning, emergency=False"
40,2,morning,NS,11.520286491619379,0,3,8,0,8,1.5,3,False,"Neural policy: queues NS/EW=(4,0), time=morning, emergency=False"
41,0,morning,EW,11.595264468900902,3,0,0,8,8,1.5,3,False,"Neural policy: queues NS/EW=(0,5), time=morning, emergency=False"
41,1,morning,EW,11.605993161723319,6,0,0,5,5,3.0,6,False,"Neural policy: queues NS/EW=(0,3), time=morning, emergency=False"
41,2,morning,EW,11.605993161723319,6,0,0,6,6,3.0,6,False,"Neural policy: queues NS/EW=(0,3), time=morning, emergency=False"
42,0,morning,NS,11.524669118132561,0,2,7,0,7,1.0,2,False,"Neural policy: queues NS/EW=(3,0), time=morning, emergency=False"
42,1,morning,NS,11.528100846724772,0,3,10,0,10,1.5,3,False,"Neural policy: queues NS/EW=(6,0), time=morning, emergency=False"
42,2,morning,NS,11.528100846724772,0,3,9,0,9,1.5,3,False,"Neural policy: queues NS/EW=(6,0), time=morning, emergency=False"
43,0,morning,EW,11.617470089664272,6,0,0,6,6,3.0,6,False,"Neural policy: queues NS/EW=(0,2), time=morning, emergency=False"
43,1,morning,EW,11.612101497253242,5,0,0,5,5,2.5,5,False,"Neural policy: queues NS/EW=(0,3), time=morning, emergency=False"
43,2,morning,EW,11.612101497253242,5,0,0,5,5,2.5,5,False,"Neural policy: queues NS/EW=(0,3), time=morning, emergency=False"
44,0,morning,NS,11.533073773386135,0,2,11,0,11,1.0,2,False,"Neural policy: queues NS/EW=(6,0), time=morning, emergency=False"
44,1,morning,NS,11.531926940858625,0,3,11,0,11,1.5,3,False,"Neural policy: queues NS/EW=(5,0), time=morning, emergency=False"
44,2,morning,NS,11.531926940858625,0,3,10,0,10,1.5,3,False,"Neural policy: queues NS/EW=(5,0), time=morning, emergency=False"
45,0,morning,EW,11.624014529483802,3,0,0,5,5,1.5,3,False,"Neural policy: queues NS/EW=(0,2), time=morning, emergency=False"
45,1,morning,EW,11.618642284429512,4,0,0,6,6,2.0,4,False,"Neural policy: queues NS/EW=(0,3), time=morning, emergency=False"
45,2,morning,EW,11.618642284429512,6,0,0,5,5,3.0,6,False,"Neural policy: queues NS/EW=(0,3), time=morning, emergency=False"
46,0,morning,NS,11.536437515577973,0,3,7,0,7,1.5,3,False,"Neural policy: queues NS/EW=(3,0), time=morning, emergency=False"
46,1,morning,NS,11.537584219236816,0,4,9,0,9,2.0,4,False,"Neural policy: queues NS/EW=(4,0), time=morning, emergency=False"
46,2,morning,NS,11.539881191682902,0,4,9,0,9,2.0,4,False,"Neural policy: queues NS/EW=(6,0), time=morning, emergency=False"
47,0,morning,EW,11.623636009903139,5,0,0,7,7,2.5,5,False,"Neural policy: queues NS/EW=(0,3), time=morning, emergency=False"
47,1,morning,EW,11.618261498770874,6,0,0,8,8,3.0,6,False,"Neural policy: queues NS/EW=(0,4), time=morning, emergency=False"
47,2,morning,EW,11.618261498770874,4,0,0,6,6,2.0,4,False,"Neural policy: queues NS/EW=(0,4), time=morning, emergency=False"
48,0,morning,NS,11.544262790983908,0,4,11,0,11,2.0,4,False,"Neural policy: queues NS/EW=(5,0), time=morning, emergency=False"
48,1,morning,NS,11.54541364673042,0,4,10,0,10,2.0,4,False,"Neural policy: queues NS/EW=(6,0), time=morning, emergency=False"
48,2,morning,NS,11.543113149370612,0,4,10,0,10,2.0,4,False,"Neural policy: queues NS/EW=(4,0), time=morning, emergency=False"
49,0,morning,EW,11.62522883744753,5,0,0,7,7,2.5,5,False,"Neural policy: queues NS/EW=(0,4), time=morning, emergency=False"
49,1,morning,EW,11.62522883744753,5,0,0,7,7,2.5,5,False,"Neural policy: queues NS/EW=(0,4), time=morning, emergency=False"
49,2,morning,EW,11.62522883744753,4,0,0,8,8,2.0,4,False,"Neural policy: queues NS/EW=(0,4), time=morning, emergency=False"
50,0,morning,NS,11.551313175907072,0,4,9,0,9,2.0,4,False,"Neural policy: queues NS/EW=(5,0), time=morning, emergency=False"
50,1,morning,NS,11.551313175907072,0,2,10,0,10,1.0,2,False,"Neural policy: queues NS/EW=(5,0), time=morning, emergency=False"
50,2,morning,NS,11.550161447094501,0,4,8,0,8,2.0,4,False,"Neural policy: queues NS/EW=(4,0), time=morning, emergency=False"
51,0,morning,EW,11.632079505318728,4,0,0,6,6,2.0,4,False,"Neural policy: queues NS/EW=(0,4), time=morning, emergency=False"
51,1,morning,EW,11.64284338758647,4,0,0,5,5,2.0,4,False,"Neural policy: queues NS/EW=(0,2), time=morning, emergency=False"
51,2,morning,EW,11.632079505318728,3,0,0,7,7,1.5,3,False,"Neural policy: queues NS/EW=(0,4), time=morning, emergency=False"
52,0,morning,NS,11.556325123169067,0,4,8,0,8,2.0,4,False,"Neural policy: queues NS/EW=(4,0), time=morning, emergency=False"
52,1,morning,NS,11.556325123169067,0,3,10,0,10,1.5,3,False,"Neural policy: queues NS/EW=(4,0), time=morning, emergency=False"
52,2,morning,NS,11.55517279119364,0,2,6,0,6,1.0,2,False,"Neural policy: queues NS/EW=(3,0), time=morning, emergency=False"
53,0,morning,EW,11.63804584742997,4,0,0,6,6,2.0,4,False,"Neural policy: queues NS/EW=(0,4), time=morning, emergency=False"
53,1,morning,EW,11.643430710081393,6,0,0,5,5,3.0,6,False,"Neural policy: queues NS/EW=(0,3), time=morning, emergency=False"
53,2,morning,EW,11.648815900304491,3,0,0,5,5,1.5,3,False,"Neural policy: queues NS/EW=(0,2), time=morning, emergency=False"
54,0,morning,NS,11.561201835723063,0,4,10,0,10,2.0,4,False,"Neural policy: queues NS/EW=(4,0), time=morning, emergency=False"
54,1,morning,NS,11.563513022476418,0,3,11,0,11,1.5,3,False,"Neural policy: queues NS/EW=(6,0), time=morning, emergency=False"
54,2,morning,NS,11.560048105312271,0,4,9,0,9,2.0,4,False,"Neural policy: queues NS/EW=(3,0), time=morning, emergency=False"
55,0,morning,EW,11.64413375551991,4,0,0,8,8,2.0,4,False,"Neural policy: queues NS/EW=(0,4), time=morning, emergency=False"
55,1,morning,EW,11.64952196976717,6,0,0,6,6,3.0,6,False,"Neural policy: queues NS/EW=(0,3), time=morning, emergency=False"
55,2,morning,EW,11.64413375551991,5,0,0,8,8,2.5,5,False,"Neural policy: queues NS/EW=(0,4), time=morning, emergency=False"
56,0,morning,NS,11.568005265142093,0,3,8,0,8,1.5,3,False,"Neural policy: queues NS/EW=(4,0), time=morning, emergency=False"
56,1,morning,NS,11.570320327520824,0,2,11,0,11,1.0,2,False,"Neural policy: queues NS/EW=(6,0), time=morning, emergency=False"
56,2,morning,NS,11.56916216127279,0,4,10,0,10,2.0,4,False,"Neural policy: queues NS/EW=(5,0), time=morning, emergency=False"
57,0,morning,EW,11.656790860933869,4,0,0,5,5,2.0,4,False,"Neural policy: queues NS/EW=(0,3), time=morning, emergency=False"
57,1,morning,EW,11.662183081577055,4,0,0,6,6,2.0,4,False,"Neural policy: queues NS/EW=(0,2), time=morning, emergency=False"
57,2,morning,EW,11.651398908461505,6,0,0,7,7,3.0,6,False,"Neural policy: queues NS/EW=(0,4), time=morning, emergency=False"
58,0,morning,NS,11.574217299475924,0,3,10,0,10,1.5,3,False,"Neural policy: queues NS/EW=(4,0), time=morning, emergency=False"
58,1,morning,NS,11.574217299475924,0,3,10,0,10,1.5,3,False,"Neural policy: queues NS/EW=(4,0), time=morning, emergency=False"
58,2,morning,NS,11.576536338243551,0,4,9,0,9,2.0,4,False,"Neural policy: queues NS/EW=(6,0), time=morning, emergency=False"
59,0,morning,EW,11.663110813811805,3,0,0,6,6,1.5,3,False,"Neural policy: queues NS/EW=(0,3), time=morning, emergency=False"
59,1,morning,EW,11.663110813811805,6,0,0,6,6,3.0,6,False,"Neural policy: queues NS/EW=(0,3), time=morning, emergency=False"
59,2,morning,EW,11.657715585266363,4,0,0,7,7,2.0,4,False,"Neural policy: queues NS/EW=(0,4), time=morning, emergency=False"
60,0,morning,NS,11.579494956983918,0,3,9,0,9,1.5,3,False,"Neural policy: queues NS/EW=(3,0), time=morning, emergency=False"
60,1,morning,NS,11.582977873817951,0,4,11,0,11,2.0,4,False,"Neural policy: queues NS/EW=(6,0), time=morning, emergency=False"
60,2,morning,NS,11.580654643704893,0,4,10,0,10,2.0,4,False,"Neural policy: queues NS/EW=(4,0), time=morning, emergency=False"
61,0,morning,EW,11.669894411116505,6,0,0,5,5,3.0,6,False,"Neural policy: queues NS/EW=(0,3), time=morning, emergency=False"
61,1,morning,EW,11.664495691557443,3,0,0,7,7,1.5,3,False,"Neural policy: queues NS/EW=(0,4), time=morning, emergency=False"
61,2,morning,EW,11.664495691557443,3,0,0,6,6,1.5,3,False,"Neural policy: queues NS/EW=(0,4), time=morning, emergency=False"
62,0,morning,NS,11.589407360561047,0,3,10,0,10,1.5,3,False,"Neural policy: queues NS/EW=(6,0), time=morning, emergency=False"
62,1,morning,NS,11.585918689165794,0,3,8,0,8,1.5,3,False,"Neural policy: queues NS/EW=(3,0), time=morning, emergency=False"
62,2,morning,NS,11.585918689165794,0,3,9,0,9,1.5,3,False,"Neural policy: queues NS/EW=(3,0), time=morning, emergency=False"
63,0,morning,EW,11.676309128735149,6,0,0,6,6,3.0,6,False,"Neural policy: queues NS/EW=(0,3), time=morning, emergency=False"
63,1,morning,EW,11.676309128735149,6,0,0,6,6,3.0,6,False,"Neural policy: queues NS/EW=(0,3), time=morning, emergency=False"
63,2,morning,EW,11.676309128735149,6,0,0,5,5,3.0,6,False,"Neural policy: queues NS/EW=(0,3), time=morning, emergency=False"
64,0,morning,NS,11.594234882770682,0,3,9,0,9,1.5,3,False,"Neural policy: queues NS/EW=(6,0), time=morning, emergency=False"
64,1,morning,NS,11.594234882770682,0,4,9,0,9,2.0,4,False,"Neural policy: queues NS/EW=(6,0), time=morning, emergency=False"
64,2,morning,NS,11.594234882770682,0,2,9,0,9,1.0,2,False,"Neural policy: queues NS/EW=(6,0), time=morning, emergency=False"
65,0,morning,EW,11.6813436929853,3,0,0,7,7,1.5,3,False,"Neural policy: queues NS/EW=(0,3), time=morning, emergency=False"
65,1,morning,EW,11.675939007887745,4,0,0,7,7,2.0,4,False,"Neural policy: queues NS/EW=(0,4), time=morning, emergency=False"
65,2,morning,EW,11.68674853646795,4,0,0,5,5,2.0,4,False,"Neural policy: queues NS/EW=(0,2), time=morning, emergency=False"
66,0,morning,NS,11.597259546978163,0,2,8,0,8,1.0,2,False,"Neural policy: queues NS/EW=(3,0), time=morning, emergency=False"
66,1,morning,NS,11.598424600706675,0,2,7,0,7,1.0,2,False,"Neural policy: queues NS/EW=(4,0), time=morning, emergency=False"
66,2,morning,NS,11.598424600706675,0,4,7,0,7,2.0,4,False,"Neural policy: queues NS/EW=(4,0), time=morning, emergency=False"
67,0,morning,EW,11.692647622632677,5,0,0,6,6,2.5,5,False,"Neural policy: queues NS/EW=(0,2), time=morning, emergency=False"
67,1,morning,EW,11.692647622632677,6,0,0,5,5,3.0,6,False,"Neural policy: queues NS/EW=(0,2), time=morning, emergency=False"
67,2,morning,EW,11.681832053030103,4,0,0,6,6,2.0,4,False,"Neural policy: queues NS/EW=(0,4), time=morning, emergency=False"
